"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2EIaO5knwUA3F2qnf9LV3S","Beyond the Sea","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","spotify:album:65okcRJHUVUrFiDG3I1Sz8","The Ultimate Bobby Darin","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","2004-11-23","https://i.scdn.co/image/ab67616d0000b27332ca9d1b933d95925e170c90","1","17","172480","https://p.scdn.co/mp3-preview/95fd2d5ccca641d554937a64def734da54256ff2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USEW10000026","spotify:user:benoit.cumins","2022-05-01T16:46:25Z","adult standards,easy listening,lounge,rock-and-roll,rockabilly,soul,swing,vocal jazz","0.521","0.516","2","-7.456","0","0.0369","0.723","0","0.257","0.569","136.483","4","","Rhino/Warner Records","C © 2004 Elektra Entertainment Group Manufactured & Marketed by Warner Strategic Marketing, P ℗ 2004 Elektra Entertainment Group Manufactured & Marketed by Warner Strategic Marketing"
"spotify:track:6lTTzSk1hRrxp4VMwXBp2l","My Way","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:7gmak9ZGm10y4PtZa9SBQn","Ultimate Sinatra","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","2015-04-21","https://i.scdn.co/image/ab67616d0000b273b19cb81319fbfd9ed54baeae","1","22","274933","https://p.scdn.co/mp3-preview/66a719b0d78917e0c00c65b50d093840dc8bc596?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USRH10723041","spotify:user:benoit.cumins","2022-05-01T16:46:25Z","adult standards,easy listening,lounge","0.279","0.454","2","-7.733","1","0.0316","0.395","0","0.198","0.216","150.661","4","","FRANK SINATRA HYBRID","C © 2015 Universal Music Enterprises, P This Compilation ℗ 2015 Universal Music Enterprises"
"spotify:track:2htH7r8oqqEwp3BB6oh2cU","Come Rain or Come Shine","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","spotify:album:4GFWnwli2cVOBp2G1zqhV1","The Genius Of Ray Charles","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","1959","https://i.scdn.co/image/ab67616d0000b273590d7d2164bc4b5e7b2c296f","1","12","222733","https://p.scdn.co/mp3-preview/9bad27c3c787ee305bf62f381bb04bf581f73537?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USAT20003625","spotify:user:benoit.cumins","2022-10-15T07:31:54Z","adult standards,classic soul,jazz blues,piano blues,soul,soul blues,vocal jazz","0.357","0.216","3","-12.833","1","0.0343","0.767","0.00000431","0.531","0.283","119.57","4","","Rhino Atlantic","C © 2005 Atlantic Recording Corp. Manufactured and Marketed by Warner Strategic Marketing, P ℗ 2005 Atlantic Recording Corp. Manufactured and Marketed by Warner Strategic Marketing"
"spotify:track:2vSxjnyrWrtxyfzO47EX6q","Smoke Gets In Your Eyes","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:3hf24dCfmmDihusVyBLliZ","Remember When?","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1959-01-01","https://i.scdn.co/image/ab67616d0000b2731946f4ef9260e9656376d020","1","2","160933","https://p.scdn.co/mp3-preview/36d6c934c3e05def3ba9e4f1f62f42fddf1cba02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USPR39500165","spotify:user:benoit.cumins","2022-10-14T16:28:02Z","adult standards,doo-wop,lounge,rock-and-roll,rockabilly","0.203","0.295","3","-11.155","1","0.0323","0.92","0.00000205","0.173","0.285","171.222","3","","Mercury Records","C © 1959 UMG Recordings, Inc., P A Mercury Records Release; ℗ 1959 UMG Recordings, Inc."
"spotify:track:25IiJu0DjOqsnQXgNHWp5i","Will You Love Me Tomorrow","spotify:artist:0x83OBqixqdCHnStP5VMcn","The Shirelles","spotify:album:6m8QVjXat9WFfyZPBSe0y8","Remember When","spotify:artist:0x83OBqixqdCHnStP5VMcn","The Shirelles","2005","https://i.scdn.co/image/ab67616d0000b2735f73759bac13ce046190cc9a","1","8","160864","https://p.scdn.co/mp3-preview/99721e17b62c4b9e8664a86583b826a80957c59d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USACU0500004","spotify:user:benoit.cumins","2022-10-14T16:28:05Z","adult standards,classic girl group,doo-wop,rhythm and blues,rock-and-roll,rockabilly,soul","0.527","0.308","0","-11.809","1","0.0284","0.551","0.0000425","0.0921","0.514","136.297","4","","Scepter Records","C 2005 Gusto Records Inc., P 2005 Gusto Records Inc."
"spotify:track:2Bs1Lw9LX8hBm70t1iGdlh","He's So Fine - Remastered 2000","spotify:artist:05sIdEkXAYDbDDdv3T56Oj","The Chiffons","spotify:album:1WvYZcG9v3WzzNNkwpreGq","The Chiffons Absolutely The Best!","spotify:artist:05sIdEkXAYDbDDdv3T56Oj","The Chiffons","2004-10-02","https://i.scdn.co/image/ab67616d0000b2732f8fd3006d5dfa9054460f53","1","1","112520","https://p.scdn.co/mp3-preview/66140f23ce6ff0230394e249445a54ced309ffff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USESM0000016","spotify:user:benoit.cumins","2022-10-14T16:28:09Z","adult standards,brill building pop,bubblegum pop,classic girl group,doo-wop,merseybeat,rhythm and blues,rock-and-roll","0.558","0.633","7","-3.265","1","0.0329","0.487","0","0.129","0.871","72.494","4","","Capitol Records","C © 2004 Capitol Records, LLC, P A Capitol Records release; This Compilation ℗ 2004 Capitol Records, LLC"
"spotify:track:4rbUVrcZ2qX4ld0jthoKaZ","Keep Your Hands off My Baby","spotify:artist:4S76LQXJD6N2uPcLhKejG8","Little Eva","spotify:album:4hiDQjQltfdWHqAdiQqe7n","Playlist: The Best Of Little Eva","spotify:artist:4S76LQXJD6N2uPcLhKejG8","Little Eva","2016-03-18","https://i.scdn.co/image/ab67616d0000b273f54e6da046645fbd5c8eb810","1","4","152093","https://p.scdn.co/mp3-preview/82d72fe4fc8d642101e79e1725c71afd6536f665?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBAYE6300297","spotify:user:benoit.cumins","2022-10-14T16:28:16Z","brill building pop,bubblegum pop,doo-wop,rhythm and blues,rock-and-roll","0.575","0.65","0","-8.524","1","0.0557","0.56","0.0000636","0.178","0.623","118.445","4","","Rhino","C © 2016 Parlophone Records Ltd, a Warner Music Group Company for world excluding US, Canada and Mexico and 2016 Rhino Entertainment, a Warner Music Group Company for US, Canada and Mexico, P ℗ 2016 Parlophone Records Ltd, a Warner Music Group Company for world excluding US, Canada and Mexico and 2016 Rhino Entertainment, a Warner Music Group Company for US, Canada and Mexico"
"spotify:track:7rGOWzo4evAQQ2FzrSKp0B","Tell Him - Single Version","spotify:artist:2GF1B0GIaFrLFLdfH6ufRO","The Exciters","spotify:album:1i2c4K7HnASzLOo6cagJVg","Tell Him","spotify:artist:2GF1B0GIaFrLFLdfH6ufRO","The Exciters","2012-01-01","https://i.scdn.co/image/ab67616d0000b273134320d50562d6b2dfbdd2a9","1","1","156160","https://p.scdn.co/mp3-preview/5050afcf56090d2c1645c830c2b80ddda6b28fab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USEM39100180","spotify:user:benoit.cumins","2022-10-14T16:28:24Z","classic girl group,northern soul,rhythm and blues","0.708","0.616","5","-10.827","1","0.198","0.445","0","0.299","0.908","177.061","4","","Capitol Records","C © 2012 Capitol Records, LLC, P ℗ 2012 Capitol Records, LLC"
"spotify:track:0vrS4oA5PHHsVEjVa1pqo8","No If's - No And's","spotify:artist:3iOE5ItEv5xr9fmKi7GNh2","Lloyd Price","spotify:album:5qYhWkc4dKbKuevLza5rlh","Lloyd Price Greatest Hits: The Original ABC-Paramount Recordings","spotify:artist:3iOE5ItEv5xr9fmKi7GNh2","Lloyd Price","1994-01-01","https://i.scdn.co/image/ab67616d0000b273c422d33814a900200b9d7ea7","1","15","142493","https://p.scdn.co/mp3-preview/2e1f4785abcf008f85f6d9d9253c9b824e6aea55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USMC15954298","spotify:user:benoit.cumins","2022-05-01T16:46:25Z","adult standards,doo-wop,louisiana blues,memphis blues,new orleans blues,rhythm and blues,rock-and-roll,rockabilly,soul","0.506","0.54","8","-5.963","1","0.0385","0.747","0","0.209","0.771","119.999","4","","Geffen*","C © 1994 UMG Recordings, Inc., P This Compilation ℗ 1994 UMG Recordings, Inc."
"spotify:track:0S3MemiutceF3Oh09TMBDP","18 Yellow Roses - 2002 Digital Remaster","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","spotify:album:5yVqBxXiNW5zxLsAV2Siu7","18 Yellow Roses","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","2010-01-01","https://i.scdn.co/image/ab67616d0000b273f574c18d3ab82af339667aec","1","1","139360","https://p.scdn.co/mp3-preview/128df1cd88f5f90a7439af0e09e12f875806b241?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USCA20201751","spotify:user:benoit.cumins","2022-05-01T16:46:25Z","adult standards,easy listening,lounge,rock-and-roll,rockabilly,soul,swing,vocal jazz","0.593","0.496","4","-12.158","1","0.0315","0.783","0.00000163","0.202","0.744","128.517","4","","Capitol Records","C © 2010 Capitol Records, LLC, P ℗ 2010 Capitol Records, LLC"
"spotify:track:4Z4eU8yoBtBGIQPQrhCFr2","The Lady Is A Tramp - Remastered","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:5Jxf3eOoGvWDGg957iXEkj","A Swingin' Affair! (Remastered)","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1957-06","https://i.scdn.co/image/ab67616d0000b273c7f0ec699936033ee1cb2c8d","1","16","194306","https://p.scdn.co/mp3-preview/dafa6c9d2e22fe46a9a7f4e1f92eeeeb2b015128?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USCA29800412","spotify:user:benoit.cumins","2022-05-01T16:46:25Z","adult standards,easy listening,lounge","0.551","0.144","8","-13.883","0","0.0392","0.515","0","0.187","0.648","128.122","4","","Capitol Records","C © 1991 Capitol Records Inc., P ℗ 1998 Capitol Records Inc."
"spotify:track:0UPLR6uenfxF1sonHICT8X","(Love Is) The Tender Trap","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:7LbB7SuX3op2Xa9FvteJeB","Frank Sinatra: The Complete Capitol Singles Collection","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1996-01-01","https://i.scdn.co/image/ab67616d0000b27365cf01584388657bd8bc1035","2","15","177906","https://p.scdn.co/mp3-preview/41bf167cdf6be3b7adf06d660bcb469f634fcb6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USCA28900510","spotify:user:benoit.cumins","2022-05-01T16:46:25Z","adult standards,easy listening,lounge","0.57","0.268","5","-11.449","1","0.0519","0.418","0","0.241","0.51","119.903","4","","Capitol Records","C © 1996 Capitol Records Inc., P This Compilation ℗ 1996 Capitol Records Inc."
"spotify:track:3vgNELn8MEMjWbdb3hAi3P","They Say It's Wonderful","spotify:artist:2hGh5VOeeqimQFxqXvfCUf, spotify:artist:7qVvIFc9DktkAc0HKzRhNo","John Coltrane, Johnny Hartman","spotify:album:2AXOX16zae4ZLiddqqzmp8","John Coltrane And Johnny Hartman","spotify:artist:7qVvIFc9DktkAc0HKzRhNo, spotify:artist:2hGh5VOeeqimQFxqXvfCUf","Johnny Hartman, John Coltrane","1963","https://i.scdn.co/image/ab67616d0000b27392148eb9d595bdc2e322aa7a","1","1","320360","","false","0","USMC16352813","spotify:user:benoit.cumins","2022-05-01T16:46:25Z","bebop,free jazz,jazz,jazz saxophone,adult standards,lounge,vocal jazz","0.4","0.11","3","-17.937","1","0.0326","0.955","0.138","0.119","0.16","99.892","3","","GRP","C © 1995 GRP Records Inc., P ℗ 1995 UMG Recordings, Inc."
"spotify:track:5N1XDxhAFFHTrrdDfQdig8","The Very Thought of You","spotify:artist:1GxkXlMwML1oSg5eLPiAz3","Michael Bublé","spotify:album:5wN1OizIFEHDUkRwzIK3wL","Nobody but Me","spotify:artist:1GxkXlMwML1oSg5eLPiAz3","Michael Bublé","2016-10-21","https://i.scdn.co/image/ab67616d0000b273b59886e766636d1ae10fe7b3","1","6","211613","https://p.scdn.co/mp3-preview/2c4471ee77bcdaa3b1bd2cea4dd4685807fdaca1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USRE11600455","spotify:user:benoit.cumins","2022-05-01T16:46:25Z","adult standards,canadian pop,jazz pop,lounge","0.255","0.131","5","-10.896","1","0.0323","0.713","0.00102","0.107","0.11","173.134","3","","Reprise","C © 2016 Reprise Records, P ℗ 2016 Reprise Records"
"spotify:track:5MjAGtm2ihbBK9G30ZN3Ju","Dream A Little Dream Of Me","spotify:artist:5V0MlUE1Bft0mbLlND7FJz, spotify:artist:19eLuQmk9aCobbVDHc6eek","Ella Fitzgerald, Louis Armstrong","spotify:album:0MgX1r8D5sEhpC3JPs6pLG","Ella & Friends","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","1996-01-01","https://i.scdn.co/image/ab67616d0000b273172183c766f475f06cf67a57","1","2","187693","","false","0","USMC15076750","spotify:user:benoit.cumins","2022-05-01T16:46:25Z","adult standards,jazz blues,swing,vocal jazz,adult standards,dixieland,harlem renaissance,jazz trumpet,new orleans jazz,swing,vocal jazz","0.549","0.169","9","-13.433","0","0.0779","0.918","0","0.159","0.36","79.318","4","","Universal Classics & Jazz","C © 1996 The Verve Music Group, a Division of UMG Recordings, Inc., P ℗ 1996 The Verve Music Group, a Division of UMG Recordings, Inc."
"spotify:track:29U7stRjqHU6rMiS8BfaI9","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:6mmv0gwumlFGWDGJXF4yEv","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1968-01-01","https://i.scdn.co/image/ab67616d0000b273845a5660b804e5f3e821fbed","1","1","139226","https://p.scdn.co/mp3-preview/c0373a4a60919684b9b78bc011baf0d4290b1c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USMC16758823","spotify:user:benoit.cumins","2022-05-01T16:46:25Z","adult standards,dixieland,harlem renaissance,jazz trumpet,new orleans jazz,swing,vocal jazz","0.271","0.165","5","-20.652","1","0.0351","0.729","0.0000016","0.118","0.203","77.082","4","","GRP","C © 1996 GRP Records Inc., P This Compilation ℗ 1968 UMG Recordings, Inc."
