"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:73X9X7kDgsm4YeHpc8prf6","Apricots","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","spotify:album:6ZgM0jM6nRUlK6wRXEONVc","Apricots","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","2020-10-06","https://i.scdn.co/image/ab67616d0000b273a52a69cf3de74cbc7f16f2a8","1","1","246506","https://p.scdn.co/mp3-preview/b223277b823fa66ab8c28630b6770b46d7e5d0d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBCFB2000317","spotify:user:","2022-11-25T16:43:58Z","ambient house,electronica","0.819","0.599","11","-6.778","1","0.039","0.347","0.824","0.083","0.489","127.986","4","","Ninja Tune","C 2020 Ninja Tune, P 2020 Ninja Tune"
"spotify:track:6zNlb6YYsRHjIHBTNzoQ4X","home (feat. Kehina)","spotify:artist:2eKt2klgJbaK8qAqvkAte6, spotify:artist:3vdW9X7Us4XMYguRhcoiIx","ones, Kehina","spotify:album:1fB7b72MXdkf1mT0ZZKCvd","far too long","spotify:artist:2eKt2klgJbaK8qAqvkAte6","ones","2022-11-18","https://i.scdn.co/image/ab67616d0000b273e2aa8d4435ae7d166ae0343b","1","9","173615","https://p.scdn.co/mp3-preview/ddd6dae5556de1442c804e673e13fc5c458c778b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBCEN2200145","spotify:user:","2022-11-25T16:43:58Z","","0.771","0.361","0","-15.171","0","0.0517","0.67","0.826","0.108","0.259","105.992","4","","Ministry of Sound Recordings","P (P) 2022 Ministry of Sound Recordings Limited"
"spotify:track:1pbxHoGLKHD7jx4vMw5H2n","Vision of Self","spotify:artist:05lIUgmmsmTX2N9dCKc8rC","Rival Consoles","spotify:album:5volqabPjMCyMnT1GZKYgz","Now Is","spotify:artist:05lIUgmmsmTX2N9dCKc8rC","Rival Consoles","2022-10-14","https://i.scdn.co/image/ab67616d0000b2737fb36cbc17f95bd39d2e8207","1","5","347981","https://p.scdn.co/mp3-preview/9edaf5df5205faefa911798da3877a350415ff2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBWZD2215305","spotify:user:","2022-11-25T16:43:58Z","ambient idm,compositional ambient,electronica,intelligent dance music,microhouse,neo-classical","0.43","0.389","6","-14.204","0","0.0547","0.821","0.94","0.358","0.0519","118.526","1","","Erased Tapes","C 2022 Erased Tapes Records Ltd., P 2022 Erased Tapes Records Ltd."
"spotify:track:0QEG3NGmWatNOIAVxudQfd","Never Come Back","spotify:artist:4aEnNH9PuU1HF3TsZTru54","Caribou","spotify:album:3q5CZdmVxP6hE0mlBcYEU1","Suddenly","spotify:artist:4aEnNH9PuU1HF3TsZTru54","Caribou","2020-02-28","https://i.scdn.co/image/ab67616d0000b27374b0013d9cefeb665d6e65e7","1","7","305480","https://p.scdn.co/mp3-preview/365fb0365663d2f47afee3afbfcb4c9922a03a60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","DED622000007","spotify:user:","2022-11-25T16:43:58Z","alternative dance,chillwave,electronica,electropop,folktronica,indie rock,indietronica,intelligent dance music,new rave","0.776","0.684","5","-8.934","1","0.0367","0.405","0.559","0.0663","0.655","127.979","4","","City Slang","C 2020 City Slang, P 2020 City Slang"
"spotify:track:4n8fxV2m3ESCoQgOaMrR2n","Murphy - Edit","spotify:artist:5vdjF79d5d2m12FOkJhxHB","Jeremy Olander","spotify:album:4YPqdsHuhVRGp2RglgnzSM","Murphy","spotify:artist:5vdjF79d5d2m12FOkJhxHB","Jeremy Olander","2022-08-12","https://i.scdn.co/image/ab67616d0000b2737f560ea7354a31a8b4238113","1","1","308571","https://p.scdn.co/mp3-preview/ac8eb1bd8fb87b73c44262aac5ba19a51b27b91b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBJX32217012","spotify:user:","2022-11-25T16:43:58Z","progressive electro house,progressive house,swedish electronic","0.667","0.861","5","-8.381","0","0.0466","0.0000708","0.917","0.0976","0.271","126.008","3","","Vivrant","C 2022 Vivrant, P 2022 Vivrant"
"spotify:track:3DVXjW5D4mPCS7lcUdkuq4","Desire","spotify:artist:76rh78p0cww0l4OqgKabLQ","George Riley","spotify:album:3ihFO9WpTBiCoy2G4IWvgl","Running In Waves","spotify:artist:76rh78p0cww0l4OqgKabLQ","George Riley","2022-09-09","https://i.scdn.co/image/ab67616d0000b273e2e1eb7e33a15cdaf818c6ce","1","8","108645","https://p.scdn.co/mp3-preview/179594d1b141aba3dd6fe03b81c235257176b6a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GB5P52200240","spotify:user:","2022-11-25T16:43:58Z","indie r&b","0.689","0.609","10","-9.889","0","0.0382","0.295","0.0455","0.117","0.103","128.024","4","","PLZ Make It Ruins","C 2022 PLZ Make It Ruins, P 2022 PLZ Make It Ruins"
"spotify:track:0Ume2ALqcG0LDPecFmNgAV","f1 racer","spotify:artist:3NUtpWpGDoffm3RCGhSHtl, spotify:artist:0mOUTmvCZnw2EWdQqY3RGc, spotify:artist:6JcD2YKEhgimweLpUI0NEw","Mount Kimbie, Dom Maker, KUČKA","spotify:album:3EHJQYoofSblgWCRqlvNRk","MK 3.5: F1 Racer & Locked In | Zone 1 (24 Hours)","spotify:artist:3NUtpWpGDoffm3RCGhSHtl, spotify:artist:0mOUTmvCZnw2EWdQqY3RGc, spotify:artist:0ud7Vcl9BBEoOVwoWDqXIH","Mount Kimbie, Dom Maker, Kai Campos","2022-09-27","https://i.scdn.co/image/ab67616d0000b2736b4a184c928feed7fcd956d7","1","1","146720","https://p.scdn.co/mp3-preview/eb985ef686e42322ee7a467961d3b51c255a25ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBBPW2100205","spotify:user:","2022-11-25T16:43:58Z","chillwave,electra,electronica,escape room,future garage,indie soul,microhouse,uk bass,wonky,electra","0.656","0.203","10","-14.992","1","0.0574","0.983","0.772","0.164","0.419","143.915","4","","Warp Records","C 2022 Warp Records, P 2022 Warp Records"
"spotify:track:1u9aqACXHthMkgw9atSiLR","Feels","spotify:artist:4cavlP5GhgtNXiWSS3wIO7","Nate Brazier","spotify:album:1A4mtUT5oyEEUFYR7RPb0y","Feels","spotify:artist:4cavlP5GhgtNXiWSS3wIO7","Nate Brazier","2022-08-30","https://i.scdn.co/image/ab67616d0000b2737bf39f3af325794b4a75df15","1","1","163506","https://p.scdn.co/mp3-preview/9b770fc81cadb5ff223224dbfc390d695c972723?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","GBAYE2200731","spotify:user:","2022-11-25T16:43:58Z","","0.674","0.587","1","-6.549","1","0.283","0.151","0.0000169","0.0728","0.498","101.945","4","","Nate Brazier","C © 2022 Nate Brazier, P ℗ 2022 Nate Brazier"
"spotify:track:1sBLUfsMLocIH1vc1uGYLD","Be With Me","spotify:artist:5ELuqqizVx5FdajBcrBckx","Love Remain","spotify:album:5fyOAPwp4N5TJUjuiGBPcv","Be With Me","spotify:artist:5ELuqqizVx5FdajBcrBckx","Love Remain","2022-11-18","https://i.scdn.co/image/ab67616d0000b2735d6efd7beb5f6d985efa698d","1","1","274500","https://p.scdn.co/mp3-preview/999fa8bed4046beff3aaa3b6e2485cb830efe023?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GB2DY2200949","spotify:user:","2022-11-25T16:43:58Z","","0.671","0.716","9","-7.731","0","0.0435","0.0894","0.901","0.057","0.273","149.962","4","","SNDWNR, distributed by LG105","C © 2022 SNDWNR, distributed by LG105, P ℗ 2022 SNDWNR, distributed by LG105"
"spotify:track:6ExxJ9telaOPy8U2onom9F","About You","spotify:artist:6sOEMfvCfHQ9dhSWyamXVb, spotify:artist:5mU7ohKXRejACFS8eZIixp","Nils Hoffmann, Malou","spotify:album:5QpbkUhMenmgathlclAcBl","A Radiant Sign","spotify:artist:6sOEMfvCfHQ9dhSWyamXVb","Nils Hoffmann","2022-09-02","https://i.scdn.co/image/ab67616d0000b2736b7bd36ac626c18c56e1f289","1","9","232917","https://p.scdn.co/mp3-preview/933a48f6af321fd04e0f0c5652a75ca4aa3b244f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBEWA2204176","spotify:user:","2022-11-25T16:43:58Z","deep minimal techno,progressive house","0.55","0.629","5","-9.762","0","0.0447","0.112","0.0114","0.0976","0.202","111.009","4","","Anjunadeep","C 2022 Anjunadeep, P 2022 Anjunadeep"
"spotify:track:1U8C94ZJu6ZSBeTYMlWQ5i","Hornbeam","spotify:artist:5iVIpHSJD1uKtL3impLoKL","Scrimshire","spotify:album:2AaQ85rTLJXZjaXpEipcH9","Hornbeam","spotify:artist:5iVIpHSJD1uKtL3impLoKL","Scrimshire","2022-10-14","https://i.scdn.co/image/ab67616d0000b273f868680bfc36a8fa040e7593","1","1","219368","https://p.scdn.co/mp3-preview/ff73df3d6fc4fe13a55d69ac2359c642ba6ad520?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","UKDBM2100055","spotify:user:","2022-11-25T16:43:58Z","indie jazz,uk contemporary jazz","0.837","0.27","7","-10.328","1","0.0625","0.719","0.898","0.0975","0.566","116.998","4","","Albert's Favourites","C 2022 Albert's Favourites Ltd., P 2022 Albert's Favourites Ltd."
"spotify:track:4S0E60NJqrmQcMd9elQu4w","somehow she’s still here (feat. James Blake)","spotify:artist:3NUtpWpGDoffm3RCGhSHtl, spotify:artist:0mOUTmvCZnw2EWdQqY3RGc, spotify:artist:53KwLdlmrlCelAZMaLVZqU","Mount Kimbie, Dom Maker, James Blake","spotify:album:1syG1kZ36G6xVnnsr6RjG2","MK 3.5: Die Cuts | City Planning","spotify:artist:3NUtpWpGDoffm3RCGhSHtl, spotify:artist:0mOUTmvCZnw2EWdQqY3RGc, spotify:artist:0ud7Vcl9BBEoOVwoWDqXIH","Mount Kimbie, Dom Maker, Kai Campos","2022-11-04","https://i.scdn.co/image/ab67616d0000b273cdb4c63929c18ff24ea0e593","1","6","167080","https://p.scdn.co/mp3-preview/2766f6e5ca1f1371ec727cb9cf146b57ae9f71d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBBPW2100208","spotify:user:","2022-12-12T19:18:24Z","chillwave,electra,electronica,escape room,future garage,indie soul,microhouse,uk bass,wonky,electronica,indie soul,uk alternative pop","0.578","0.376","4","-12.736","1","0.0339","0.922","0.142","0.154","0.476","122.929","4","","Warp Records","C 2022 Warp Records, P 2022 Warp Records"
"spotify:track:4HDyneNRqT6teWLfG5CQ1x","Tahara","spotify:artist:2f0w048dh1LH5QPDvwKECY","Jacana People","spotify:album:7evkhN1L2LeQjCm1IaCNzS","Tahara","spotify:artist:2f0w048dh1LH5QPDvwKECY","Jacana People","2022-04-20","https://i.scdn.co/image/ab67616d0000b2739099c5e5bd9cb4326c310bc4","1","1","213850","https://p.scdn.co/mp3-preview/572870b40a3dc35aa2a2fbb10735d5bd6ae0a609?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","FR59R2210317","spotify:user:","2022-11-25T16:43:58Z","","0.73","0.961","11","-6.617","1","0.0378","0.305","0.879","0.118","0.184","129.024","4","","Hide The Moth","C 2022 Hide The Moth, P 2022 Hide The Moth"
"spotify:track:0a6Gsxg9F2y28YaXb4mPY4","The Path","spotify:artist:6bV9MqjsNFkMwryuBkWvXX","Kilig","spotify:album:0ElCHdddUAPJfRmNe7eWyo","The Path","spotify:artist:6bV9MqjsNFkMwryuBkWvXX","Kilig","2021-06-11","https://i.scdn.co/image/ab67616d0000b2737f9f0e3008a9601b4ea836f5","1","1","192899","https://p.scdn.co/mp3-preview/4dd6371140583968cd9c4e3cf5ef5c4cf240b777?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBEFR2108976","spotify:user:","2022-11-25T16:43:58Z","","0.427","0.425","0","-12.221","0","0.0398","0.188","0.898","0.0883","0.173","99.442","4","","Kilig","C 2021 Kilig, P 2021 Kilig"
"spotify:track:4XFldIf0Sg9WyvOZ31eZ9U","Amaya","spotify:artist:2f0w048dh1LH5QPDvwKECY","Jacana People","spotify:album:17NJYAOC4wZDOsujLpoHcb","Amaya","spotify:artist:2f0w048dh1LH5QPDvwKECY","Jacana People","2020-05-14","https://i.scdn.co/image/ab67616d0000b273a944570685dc939f0feb5b2f","1","1","282000","https://p.scdn.co/mp3-preview/6d5a67f6195cc9b4e522a45f492a75a78c57e025?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBKPL2098131","spotify:user:","2022-11-25T16:43:58Z","","0.791","0.48","9","-13.779","0","0.139","0.505","0.934","0.181","0.533","120.001","4","","Jacana People","C 2020 Jacana People, P 2020 Jacana People"
"spotify:track:2fs9HGUstxf0r1nbUsX9pr","One More Chance","spotify:artist:0sD8M4PoVLNDJ82fi6oG5e","Melle Brown","spotify:album:0Br04dEwKsxbvjQnBKqKC5","One More Chance","spotify:artist:0sD8M4PoVLNDJ82fi6oG5e","Melle Brown","2022-04-22","https://i.scdn.co/image/ab67616d0000b273f71a4eff2f197651314d80e8","1","1","249836","https://p.scdn.co/mp3-preview/5f2e5afdf094dcf0781d6d19808d377d7ffadc49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QM4TX2238590","spotify:user:","2022-11-25T16:43:58Z","","0.701","0.707","9","-10","0","0.062","0.304","0.843","0.0808","0.637","121.969","4","","&Friends","C (C) 2022 &Friends, P (P) 2022 &Friends"
"spotify:track:6plKjqeFQ30GbfAbvS3srq","Intimate Fantasy","spotify:artist:0QOQc6jEsPX5Y45TV0hXQy","Chaos In The CBD","spotify:album:5gkN7t6aczEdOCwKxGeYkW","Intimate Fantasy - EP","spotify:artist:0QOQc6jEsPX5Y45TV0hXQy","Chaos In The CBD","2022-10-04","https://i.scdn.co/image/ab67616d0000b2735ad07f59a7dd3d6641ba0807","1","1","493000","https://p.scdn.co/mp3-preview/db20993aa226b19a20bcf914990f94ddf1a0e417?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FRX452200433","spotify:user:","2022-11-25T16:43:58Z","deep house,electronica,float house,indie soul,jazz house,nz electronic","0.802","0.856","7","-8.764","0","0.0575","0.0294","0.878","0.666","0.719","127.067","4","","In Dust We Trust","C 2022 In Dust We Trust, P 2022 In Dust We Trust"
"spotify:track:0wWAvABUlvDPqrCaeMCR1f","Solo","spotify:artist:3xRyvI4HAg7OilXnkiDnQe","HANAH","spotify:album:6AmMv1reKGcysv2xz44HM5","Solo","spotify:artist:3xRyvI4HAg7OilXnkiDnQe","HANAH","2022-10-05","https://i.scdn.co/image/ab67616d0000b273117e6b50604530b65f84737e","1","1","293630","https://p.scdn.co/mp3-preview/3b962687a1871e3d2df600b358452f37e8a36428?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","QMBZ92290172","spotify:user:","2022-11-25T16:43:58Z","experimental r&b","0.637","0.415","1","-15.331","0","0.0419","0.887","0.58","0.1","0.408","119.957","4","","Saffron Records","C (C) 2022 Saffron Records, P (P) 2022 Saffron Records"
"spotify:track:6PclzQ8aZCxs2CDyFHvo0D","i don’t wanna feel u","spotify:artist:2LSEjxlLwKF2YelaT0kiQJ","poolsideconvo","spotify:album:4v2AslnCXsGypDG3ikDKiK","i don’t wanna feel u","spotify:artist:2LSEjxlLwKF2YelaT0kiQJ","poolsideconvo","2022-10-28","https://i.scdn.co/image/ab67616d0000b2736cde97b4277001328a9bde7c","1","1","196074","https://p.scdn.co/mp3-preview/3e236cc2a8b2c3c1f8bca996cc4066887db2a820?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","NLRD52118007","spotify:user:","2022-11-25T16:43:58Z","","0.39","0.73","5","-8.075","0","0.0659","0.214","0.916","0.094","0.26","134.878","4","","Broken Levee","C 2022 Broken Levee, P 2022 Broken Levee"
