"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3d8y0t70g7hw2FOWl9Z4Fm","Ophelia","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:2zbTrm2pIAErzFSopinkbN","Cleopatra","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2016-04-08","https://i.scdn.co/image/ab67616d0000b273cd34380a48c22de3d0e475de","1","2","160097","https://p.scdn.co/mp3-preview/10d0d5dee8d899a8f422c358fdab81ab07fde44a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USDMG1673802","spotify:user:fariskahale","2021-06-26T05:10:14Z","folk-pop,pop,stomp and holler","0.664","0.573","5","-6.519","1","0.0277","0.613","0.000363","0.0857","0.566","76.023","4","","Dualtone Music Group","C 2016 Dualtone Music Group, a division of MNRK Records, P 2016 Dualtone Music Group, a division of MNRK Records"
"spotify:track:1Xi84slp6FryDSCbzq4UCD","Arcade","spotify:artist:3klZnJvYGIbWritVwQD434","Duncan Laurence","spotify:album:7BISGeB7QwhqRIadxuLHfG","Arcade","spotify:artist:3klZnJvYGIbWritVwQD434","Duncan Laurence","2019-03-07","https://i.scdn.co/image/ab67616d0000b273a954408e456d4d9d410f448b","1","1","183624","https://p.scdn.co/mp3-preview/8c643f535922ca292d35b1ecea94134444bbf625?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","NL1TK1900001","spotify:user:fariskahale","2021-06-26T05:10:38Z","dutch pop","0.45","0.329","9","-12.603","0","0.0441","0.818","0.00109","0.135","0.266","71.884","3","","Universal Music, a division of Universal International Music BV","C © 2019 Spark Records B.V., under exclusive license to Universal Music, a division of Universal International Music B.V., P ℗ 2019 Spark Records B.V., under exclusive license to Universal Music, a division of Universal International Music B.V."
"spotify:track:0QIjsbm2fh1cJ45XO9eGqq","Wake Up in the Sky","spotify:artist:13y7CgLHjMVRMDqxdx0Xdo, spotify:artist:0du5cEVh5yTK9QJze8zA0C, spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Gucci Mane, Bruno Mars, Kodak Black","spotify:album:7mkyc2BUahNfo0orKzqNGB","Wake Up in the Sky","spotify:artist:13y7CgLHjMVRMDqxdx0Xdo, spotify:artist:0du5cEVh5yTK9QJze8zA0C, spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Gucci Mane, Bruno Mars, Kodak Black","2018-09-14","https://i.scdn.co/image/ab67616d0000b273b64fc7036d0fccef26f9f7e8","1","1","204664","https://p.scdn.co/mp3-preview/f5bee94f14ae13ee0dcb6580ad369d5411c4e124?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USAT21811087","spotify:user:fariskahale","2021-06-26T05:14:57Z","atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,dance pop,pop,florida rap,hip hop,melodic rap,miami hip hop,rap,trap,trap latino","0.8","0.578","4","-5.144","0","0.0485","0.00381","0","0.359","0.367","143.01","4","","Guwop Enterprises/Atlantic","C © 2018 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company, P ℗ 2018 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company"
"spotify:track:0PDUDa38GO8lMxLCRc4lL1","PILLOWTALK","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","spotify:album:5amj9zNeZ3B2EdpBgXrOZ0","Mind Of Mine (Deluxe Edition)","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","2016-03-25","https://i.scdn.co/image/ab67616d0000b273a15e26d05b7ce776b566579d","1","2","202746","https://p.scdn.co/mp3-preview/eaf2d16e695d4fafda8cfc96f4dc6adefb82956f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USRC11600042","spotify:user:fariskahale","2021-06-26T05:15:31Z","dance pop,pop,post-teen pop,uk pop","0.584","0.7","11","-4.275","1","0.0456","0.117","0","0.0939","0.438","124.944","4","","RCA Records Label","P (P) 2016 RCA Records, a division of Sony Music Entertainment"
"spotify:track:39cCKb7vpi2VvVnPJtKb4M","Faith In Me","spotify:artist:5yw4tA8D5uG7tT3NaDvq10, spotify:artist:0PavAVTZWBEpaj4iJdKCyj","Stellar, Sunday Scaries","spotify:album:7HEvPB7SPvW7oVVTYazg4z","Faith In Me","spotify:artist:5yw4tA8D5uG7tT3NaDvq10, spotify:artist:0PavAVTZWBEpaj4iJdKCyj","Stellar, Sunday Scaries","2022-03-04","https://i.scdn.co/image/ab67616d0000b273289c7ef17b292161c23f741c","1","1","195254","https://p.scdn.co/mp3-preview/b4a87685d9185903bf0d978f66a5f2ddebf3cdbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","QZTLA2246338","spotify:user:fariskahale","2022-03-24T02:44:19Z","social media pop","0.8","0.545","1","-5.774","0","0.0629","0.179","0","0.0622","0.349","118.036","4","","Stellar","P 2022 Stellar"
"spotify:track:2mt1IqcFyY1zmYZT8Q3xw9","hot girl bummer","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:0fxhOwMkj9lfSIAyTJVnfc","everything means nothing","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2020-08-21","https://i.scdn.co/image/ab67616d0000b2730b7c6d46885f7434c99e6d8b","1","1","188343","","true","3","USUG11902959","spotify:user:fariskahale","2021-06-26T05:15:43Z","pop,pop rap","0.782","0.559","6","-7.106","0","0.0767","0.125","0","0.385","0.685","129.992","1","","Beartrap / Alamo / Interscope Records","C © 2020 Beartrap, LLC, under exclusive license to Alamo / Interscope Records, P ℗ 2020 Beartrap, LLC, under exclusive license to Alamo / Interscope Records"
"spotify:track:0wXuerDYiBnERgIpbb3JBR","Redbone","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:4Carzsnpd6yvuHZ49I0oz8","""Awaken, My Love!""","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2016-12-02","https://i.scdn.co/image/ab67616d0000b273f78c98bbf2b3c9e2a764203e","1","6","326933","","true","63","USYAH1600107","spotify:user:fariskahale","2021-06-26T05:17:28Z","atl hip hop,hip hop,pop,rap","0.743","0.344","1","-11.174","1","0.118","0.169","0.00879","0.103","0.577","160.15","4","","Glassnote Entertainment Group LLC","C 2016 McDJ Entertainment under exclusive license to Glassnote Entertainment Group LLC, distributed by AWAL, P 2016 McDJ Entertainment under exclusive license to Glassnote Entertainment Group LLC, distributed by AWAL"
"spotify:track:5Z3GHaZ6ec9bsiI5BenrbY","Young Dumb & Broke","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","2","202546","https://p.scdn.co/mp3-preview/7f85d7814c5ff276d0ad416cd3f4c1cf88ece7af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USRC11700144","spotify:user:fariskahale","2021-06-26T05:17:36Z","pop,pop r&b","0.799","0.539","1","-6.351","1","0.0421","0.199","0.0000166","0.165","0.394","136.948","4","","Right Hand Music Group, LLC/RCA Records","P (P) 2017 RCA Records, a division of Sony Music Entertainment"
"spotify:track:0rKtyWc8bvkriBthvHKY8d","SLOW DANCING IN THE DARK","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:34GQP3dILpyCN018y2k61L","BALLADS 1","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2018-10-26","https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2","1","2","209273","https://p.scdn.co/mp3-preview/198e47a60b679b051c8d7a437e53fd3ebe2b58ca?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","ZZOPM1800452","spotify:user:fariskahale","2021-06-26T05:17:47Z","viral pop","0.515","0.479","3","-7.458","1","0.0261","0.544","0.00598","0.191","0.284","88.964","4","","88rising Music/Warner Records","C © 2018 88rising Records/Warner Records Inc., P ℗ 2018 88rising Records/Warner Records Inc."
"spotify:track:2f0pn9DkEJwAzXApnFh5cr","Someone To You","spotify:artist:4qWnlmXWuGv2TtuxtIWlJX","BANNERS","spotify:album:7jPoliCU7TRA13Wro32AOD","Where The Shadow Ends","spotify:artist:4qWnlmXWuGv2TtuxtIWlJX","BANNERS","2019-10-04","https://i.scdn.co/image/ab67616d0000b273f1bff89049561177b7cccebb","1","3","219801","https://p.scdn.co/mp3-preview/346a50d7313f7d6fc14c177710fe4d5854cf77da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUM71705215","spotify:user:fariskahale","2021-06-26T05:18:46Z","indie poptimism,pop,pop rock","0.52","0.903","2","-5.497","1","0.042","0.00517","0","0.254","0.652","74.988","4","","Island Records","C © 2020 Island Records, a division of UMG Recordings, Inc., P ℗ 2020 Island Records, a division of UMG Recordings, Inc."
"spotify:track:2iUmqdfGZcHIhS3b9E9EWq","Everybody Talks","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","spotify:album:0uRFz92JmjwDbZbB7hEBIr","Picture Show","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","2012-01-01","https://i.scdn.co/image/ab67616d0000b2734a6c0376235e5aa44e59d2c2","1","3","177280","https://p.scdn.co/mp3-preview/2f070fe27132eedc8df3c98babc8984b69ba62cb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUM71119189","spotify:user:fariskahale","2021-06-26T05:18:50Z","indie poptimism,modern alternative rock,modern rock,pop rock,rock","0.471","0.924","8","-3.906","1","0.0586","0.00301","0","0.313","0.725","154.961","4","","Mercury Records","C © 2012 The Island Def Jam Music Group, P ℗ 2012 The Island Def Jam Music Group"
"spotify:track:1i36kkhmhBxf4lYJscg5zK","Fantasy","spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl","Bazzi","spotify:album:5EEkfRgfYHiFu0lGur6Z6M","COSMIC","spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl","Bazzi","2018-04-12","https://i.scdn.co/image/ab67616d0000b273f9f2d43ff44bdfbe8c556f8d","1","10","148229","https://p.scdn.co/mp3-preview/c26d7be4f2fd5eaff612f081211f0a0c97d273ac?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USAT21801529","spotify:user:fariskahale","2021-06-26T05:19:52Z","dance pop,electropop,pop","0.699","0.668","5","-4.272","0","0.0336","0.154","0.0000032","0.362","0.314","144.105","4","","iamcosmic","C 2018, P 2018"
"spotify:track:6KuHjfXHkfnIjdmcIvt9r0","On Top Of The World","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1rzDtYMpZDhRgKNigB467r","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273a8f95e7f840c11edfa6cc3bd","1","5","189840","https://p.scdn.co/mp3-preview/203e7a7f5f92d91dcb1f4882adbd090259f196da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USUM71201073","spotify:user:fariskahale","2021-06-26T05:20:40Z","modern rock,rock","0.635","0.926","0","-5.589","1","0.151","0.0893","0.00000453","0.0928","0.761","100.048","4","","Kid Ina Korner / Interscope","C © 2013 KIDinaKORNER/Interscope Records, P ℗ 2013 KIDinaKORNER/Interscope Records"
"spotify:track:4gbVRS8gloEluzf0GzDOFc","Maps","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:2Auw0pTT6EcQdvHNimhLQI","V","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2014-09-02","https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c","1","1","189960","https://p.scdn.co/mp3-preview/bba168911f90662f1a82081b1395cbc43b200983?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUM71407116","spotify:user:fariskahale","2021-06-26T05:21:26Z","pop","0.742","0.713","1","-5.522","0","0.0303","0.0205","0","0.059","0.879","120.032","4","","Interscope Records*","C © 2015 Interscope Records, P ℗ 2015 Interscope Records"
"spotify:track:4nVBt6MZDDP6tRVdQTgxJg","Story of My Life","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:7p1fX8aUySrBdx4WSYspOu","Midnight Memories (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2013-11-25","https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1","1","2","245493","https://p.scdn.co/mp3-preview/f88f216950bea0206e3ce190fb3e99ad251471f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBHMU1300210","spotify:user:fariskahale","2021-06-26T05:21:37Z","boy band,pop,post-teen pop,talent show","0.6","0.663","3","-5.802","1","0.0477","0.225","0","0.119","0.286","121.07","4","","Syco Music","P (P) 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited"
"spotify:track:4RCWB3V8V0dignt99LZ8vH","Hey There Delilah","spotify:artist:1g1yxsNVPhMUl9GrMjEb2o","Plain White T's","spotify:album:4vUClKTFaDWnsHE8rK52GY","All That We Needed","spotify:artist:1g1yxsNVPhMUl9GrMjEb2o","Plain White T's","2005-01-01","https://i.scdn.co/image/ab67616d0000b273beae6e69d6505fd379ef3081","1","13","232533","https://p.scdn.co/mp3-preview/fd674888a9710d1653f87875f65b377459bdef4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","US5260507213","spotify:user:fariskahale","2021-06-26T05:21:50Z","neo mellow,pop punk,pop rock","0.656","0.291","2","-10.572","1","0.0293","0.872","0","0.114","0.298","103.971","4","","Fearless Records","C © 2005 Fearless Records, a division of Concord Music Group, Inc., P ℗ 2005 Fearless Records, a division of Concord Music Group, Inc."
"spotify:track:5jsw9uXEGuKyJzs0boZ1bT","Stitches","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:6sUOosXuYt0oUeczJRbedZ","Handwritten","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2015-04-14","https://i.scdn.co/image/ab67616d0000b273d26246b23c8bfa8ce543b3bb","1","2","206880","https://p.scdn.co/mp3-preview/7d8cf3790a5e0701ba52cc68b300117bbd5df225?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUM71500658","spotify:user:fariskahale","2021-06-26T05:22:05Z","canadian pop,dance pop,pop,viral pop","0.752","0.754","1","-6.684","1","0.0615","0.0151","0","0.0486","0.755","149.789","4","","Island Records","C © 2016 Island Records, a division of UMG Recordings, Inc., P ℗ 2016 Island Records, a division of UMG Recordings, Inc."
"spotify:track:1huvTbEYtgltjQRXzrNKGi","Don't","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:1xn54DMo2qIqBuMqHtUsFd","x (Deluxe Edition)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2014-06-21","https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd","1","4","219840","https://p.scdn.co/mp3-preview/994a88172bd91eb695bcd7c0651a8b8922f9b89b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAHS1400090","spotify:user:fariskahale","2021-06-26T05:22:42Z","pop,uk pop","0.806","0.608","1","-7.008","1","0.0659","0.0113","0","0.635","0.849","95.049","4","","Atlantic Records UK","C © 2014 Asylum Records UK, a Warner Music UK Company, P ℗ 2014 Asylum Records UK, a Warner Music UK Company, except track 16 2013 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc."
"spotify:track:3Q3myFA7q4Op95DOpHplaY","do re mi","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:30QoUTsSdpQuZunPNFsLnm","digital druglord","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2017-04-21","https://i.scdn.co/image/ab67616d0000b27318e8b6e355542ddf38562055","1","4","212027","","true","2","USLD91700850","spotify:user:fariskahale","2021-06-26T05:22:52Z","pop,pop rap","0.745","0.593","8","-6.35","1","0.0526","0.00522","0.00000525","0.123","0.17","111.002","3","","Alamo / Blackbear P&D","C © 2017 Beartrap, LLC, under exclusive license to UMG Recordings, Inc., P A Beartrap/Alamo/Interscope Release; ℗ 2017 Beartrap, LLC, under exclusive license to UMG Recordings, Inc."
"spotify:track:6brl7bwOHmGFkNw3MBqssT","So Sick","spotify:artist:21E3waRsmPlU7jZsS13rcj","Ne-Yo","spotify:album:6gkwOLmk0ALMOjWs5WhAEr","In My Own Words","spotify:artist:21E3waRsmPlU7jZsS13rcj","Ne-Yo","2006-01-01","https://i.scdn.co/image/ab67616d0000b273987a1825341694ec9bc62457","1","3","207186","https://p.scdn.co/mp3-preview/396c1ced17f32c514182b95b6ebfc6638d03e744?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUM70501633","spotify:user:fariskahale","2021-06-26T05:23:24Z","dance pop,pop,urban contemporary","0.452","0.574","6","-8.336","1","0.31","0.246","0","0.189","0.58","92.791","4","","Def Soul","C © 2006 The Island Def Jam Music Group, P ℗ 2006 The Island Def Jam Music Group"
"spotify:track:34ceTg8ChN5HjrqiIYCn9Q","Miss Independent","spotify:artist:21E3waRsmPlU7jZsS13rcj","Ne-Yo","spotify:album:6dTn9vJSxVTIGm4Cu5dH4x","Year Of The Gentleman (Bonus Track Edition)","spotify:artist:21E3waRsmPlU7jZsS13rcj","Ne-Yo","2008-01-01","https://i.scdn.co/image/ab67616d0000b2735694163d7c4ab48251e9b57c","1","5","232000","https://p.scdn.co/mp3-preview/8694ccfe980c736bc1b987b95013ff3aedd924aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUM70826981","spotify:user:fariskahale","2021-06-26T05:25:26Z","dance pop,pop,urban contemporary","0.673","0.683","1","-5.693","1","0.115","0.522","0","0.235","0.713","171.86","4","","Def Soul","C © 2008 The Island Def Jam Music Group, P ℗ 2008 The Island Def Jam Music Group"
"spotify:track:15JINEqzVMv3SvJTAXAKED","Love The Way You Lie","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Eminem, Rihanna","spotify:album:47BiFcV59TQi2s9SkBo2pb","Recovery","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2010-06-18","https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100","1","15","263373","https://p.scdn.co/mp3-preview/3b2b26f562a4b82fe35fcd4587f2303485397b24?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USUM71015397","spotify:user:fariskahale","2021-06-26T05:26:14Z","detroit hip hop,hip hop,rap,barbadian pop,dance pop,pop,urban contemporary","0.749","0.925","10","-5.034","1","0.227","0.241","0","0.52","0.641","86.989","4","","Aftermath","C © 2010 Aftermath Records, P ℗ 2010 Aftermath Records"
"spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL","Photograph","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:1xn54DMo2qIqBuMqHtUsFd","x (Deluxe Edition)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2014-06-21","https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd","1","6","258986","https://p.scdn.co/mp3-preview/34704823c55ae09f26988b106784f884bb781068?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAHS1400094","spotify:user:fariskahale","2021-06-26T05:26:29Z","pop,uk pop","0.614","0.379","4","-10.48","1","0.0476","0.607","0.000464","0.0986","0.201","107.989","4","","Atlantic Records UK","C © 2014 Asylum Records UK, a Warner Music UK Company, P ℗ 2014 Asylum Records UK, a Warner Music UK Company, except track 16 2013 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc."
"spotify:track:5fVZC9GiM4e8vu99W0Xf6J","How to Save a Life","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","spotify:album:1IM3GwptCGYjRkzCBolyFK","How To Save A Life","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","2005-09-13","https://i.scdn.co/image/ab67616d0000b27359b8b957f164ce660919f1f4","1","3","262533","https://p.scdn.co/mp3-preview/c38334b15c21ce019c1e968367d6a4af03248074?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USSM10601178","spotify:user:fariskahale","2021-06-26T05:27:07Z","neo mellow,piano rock,pop,pop rock","0.64","0.743","10","-4.08","1","0.0379","0.269","0","0.101","0.361","122.035","4","","Epic","P (P) 2005 Sony Music Entertainment"
"spotify:track:3EPXxR3ImUwfayaurPi3cm","Be Alright","spotify:artist:3QSQFmccmX81fWCUSPTS7y","Dean Lewis","spotify:album:0YZLXTaHLcgl5UdtKDiUXD","Be Alright","spotify:artist:3QSQFmccmX81fWCUSPTS7y","Dean Lewis","2018-06-29","https://i.scdn.co/image/ab67616d0000b27313480e8127119dcb882eb53d","1","1","196373","https://p.scdn.co/mp3-preview/434e14cb2502d2c95b5a2a8fb01dbe8231958d86?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","AUUM71800255","spotify:user:fariskahale","2021-06-26T05:27:23Z","australian pop,pop","0.553","0.586","11","-6.319","1","0.0362","0.697","0","0.0813","0.443","126.684","4","","Universal Music Australia Pty. Ltd.","C © 2018 Universal Music Australia Pty Ltd., P An Island Records Australia release; ℗ 2018 Universal Music Australia Pty Ltd."
"spotify:track:3JvrhDOgAt6p7K8mDyZwRd","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:5S9b8euumqMhQbMk0zzQdH","Dream Your Life Away (Special Edition)","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-09-09","https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03","1","4","204280","https://p.scdn.co/mp3-preview/fe5f6f3eeac1720c920f67eedfe899ccf900a819?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","AULI01385760","spotify:user:fariskahale","2021-06-26T05:27:37Z","folk-pop,pop","0.484","0.731","1","-6.694","1","0.0379","0.431","0","0.151","0.51","101.654","4","","Atlantic Records","C © 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States excluding Australia and New Zealand, P ℗ Tracks 4 & 6 2013, all other tracks 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States excluding Australia and New Zealand."
"spotify:track:1j4kHkkpqZRBwE0A4CN4Yv","Dusk Till Dawn (feat. Sia) - Radio Edit","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","ZAYN, Sia","spotify:album:5l5gR4rh26QI3fijGFTDrp","Dusk Till Dawn (feat. Sia) [Radio Edit]","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","2017-09-07","https://i.scdn.co/image/ab67616d0000b27323852b7ef0ecfe29d38d97ee","1","1","239000","https://p.scdn.co/mp3-preview/2f86f89cd3ebecda834cdb0204d081b94351051e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USRC11702155","spotify:user:fariskahale","2021-06-26T05:27:54Z","dance pop,pop,post-teen pop,uk pop,australian dance,australian pop,dance pop,pop","0.259","0.437","11","-6.589","0","0.0386","0.102","0.00000132","0.106","0.0951","180.042","4","","RCA Records Label","P (P) 2017 RCA Records, a division of Sony Music Entertainment"
"spotify:track:7BqBn9nzAq8spo5e7cZ0dJ","Just the Way You Are","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","spotify:album:1uyf3l2d4XYwiEqAb7t7fX","Doo-Wops & Hooligans","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","2010-10-05","https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b","1","2","220734","https://p.scdn.co/mp3-preview/fe45db93f0ed11c07cb0db0d6d422a8d80617df8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USAT21001269","spotify:user:fariskahale","2021-06-26T05:28:24Z","dance pop,pop","0.635","0.841","5","-5.379","1","0.0422","0.0134","0","0.0622","0.424","109.021","4","","Atlantic Records","C © 2010 Atlantic Recording Corporation For the United States and WEA International Inc. for the world outside of the United States., P ℗ 2010 Atlantic Recording Corporation For the United States and WEA International Inc. for the world outside of the United States."
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0","1","5","266773","https://p.scdn.co/mp3-preview/54db26ef5a3cf11fdc73ca66cfda7988b08eb52f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","GBAYE0000267","spotify:user:fariskahale","2021-06-26T05:29:27Z","permanent wave,pop","0.429","0.661","11","-7.227","1","0.0281","0.00239","0.000121","0.234","0.285","173.372","4","","Parlophone UK","C © 2000 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2000 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:15vzANxN8G9wWfwAJLLMCg","Paris","spotify:artist:69GGBxA162lTqCwzJG5jLp","The Chainsmokers","spotify:album:64vx3cUb97lQGlgt8zozWL","Paris","spotify:artist:69GGBxA162lTqCwzJG5jLp","The Chainsmokers","2017-01-13","https://i.scdn.co/image/ab67616d0000b273e1b22ace42c98117458010b4","1","1","221520","https://p.scdn.co/mp3-preview/5703b0086897c631e98f44387220510c80e82899?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USQX91603031","spotify:user:fariskahale","2021-06-26T05:29:56Z","dance pop,edm,electropop,pop,pop dance,tropical house","0.646","0.644","2","-6.763","1","0.031","0.0243","0","0.0888","0.251","99.999","4","","Disruptor Records/Columbia","P (P) 2017 Disruptor Records/Columbia Records"
"spotify:track:6sy3LkhNFjJWlaeSMNwQ62","Counting Stars","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2bbhW5ifCwOYM8DMkqoYBF","Native","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e80e7dbce3996a1ae5967751","1","1","257839","https://p.scdn.co/mp3-preview/4967b47edcd7d1c2dde17a52fdb94687a8e9dc58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUM71301306","spotify:user:fariskahale","2021-06-26T05:30:12Z","piano rock,pop","0.664","0.705","1","-4.972","0","0.0382","0.0654","0","0.115","0.477","122.017","4","","Mosley / Interscope","C © 2014 Mosley Music/Interscope Records, P ℗ 2014 Mosley Music/Interscope Records"
